transaction_id,user_id,provider,transaction_type,amount,currency,status,failure_reason,channel,country,device_id,ip_address,created_at
TRX000001,U4952,Card,deposit,8981.88,KES,failed,provider_error,web,KE,DEV53940,192.168.212.239,18/01/2025 05:53:00
TRX000002,U2669,Card,deposit,850.89,USD,success,,ios,KE,DEV77207,192.168.237.189,03/01/2025 10:40:00
TRX000003,U3325,Card,withdrawal,110.96,KES,success,,android,KE,DEV50084,192.168.76.23,21/01/2025 06:33:00
TRX000004,U2534,MPesa,deposit,1363.64,USD,failed,fraud_suspected,android,NG,DEV72945,192.168.51.154,19/02/2025 05:21:00
TRX000005,U1911,MPesa,deposit,980.45,EUR,success,,ios,UG,DEV53115,192.168.233.85,24/02/2025 15:15:00
TRX000006,U3193,Card,deposit,6605.09,KES,success,,android,KE,DEV41288,192.168.37.46,19/02/2025 20:20:00
TRX000007,U4696,Card,withdrawal,4679.11,KES,success,,android,KE,DEV14626,192.168.167.28,21/01/2025 04:18:00
TRX000008,U3022,Skrill,withdrawal,13422.94,KES,success,,ios,KE,DEV17113,192.168.172.170,05/01/2025 10:21:00
TRX000009,U2169,MPesa,deposit,5833.22,KES,success,,ios,KE,DEV78698,192.168.229.209,09/01/2025 15:35:00
TRX000010,U4614,MPesa,deposit,12033.94,KES,success,,ios,UG,DEV61365,192.168.237.50,11/01/2025 15:03:00
TRX000011,U4889,PayPal,deposit,10604.33,USD,success,,ios,KE,DEV40597,192.168.174.105,08/01/2025 09:02:00
TRX000012,U4060,PayPal,deposit,9351.36,KES,success,,web,KE,DEV62448,192.168.144.88,23/01/2025 18:12:00
TRX000013,U1713,Card,deposit,13308.76,KES,success,,web,UG,DEV12224,192.168.26.206,21/01/2025 16:03:00
TRX000014,U2860,Card,withdrawal,7409.46,KES,success,,android,KE,DEV65821,192.168.81.80,27/02/2025 11:41:00
TRX000015,U2429,Card,deposit,4718.77,KES,success,,ios,KE,DEV13689,192.168.112.194,19/01/2025 04:21:00
TRX000016,U3573,MPesa,deposit,1159.31,KES,success,,web,TZ,DEV10301,192.168.222.10,04/02/2025 16:13:00
TRX000017,U1523,PayPal,withdrawal,12056.06,KES,success,,ios,NG,DEV96396,192.168.46.216,18/02/2025 21:52:00
TRX000018,U1439,MPesa,withdrawal,1655.23,KES,failed,timeout,web,KE,DEV83252,192.168.114.174,10/01/2025 22:46:00
TRX000019,U3169,AirtelMoney,deposit,7275.03,USD,success,,web,KE,DEV58350,192.168.21.26,05/02/2025 04:38:00
TRX000020,U4393,AirtelMoney,deposit,6060.52,KES,success,,web,KE,DEV83732,192.168.255.187,17/02/2025 02:17:00
TRX000021,U3319,MPesa,deposit,14966.12,KES,success,,ios,KE,DEV56381,192.168.154.144,05/02/2025 11:36:00
TRX000022,U2824,Card,deposit,10212.18,KES,success,,android,NG,DEV80139,192.168.98.193,03/01/2025 00:08:00
TRX000023,U1056,AirtelMoney,deposit,3636.19,USD,success,,android,TZ,DEV38351,192.168.192.240,04/01/2025 03:07:00
TRX000024,U3978,Card,deposit,2265.01,KES,success,,android,TZ,DEV41768,192.168.96.197,22/01/2025 11:35:00
TRX000025,U3517,Card,deposit,12143.47,KES,success,,web,TZ,DEV82628,192.168.64.108,22/01/2025 17:42:00
TRX000026,U3192,PayPal,deposit,10136.97,USD,success,,web,NG,DEV87394,192.168.216.171,06/01/2025 18:50:00
TRX000027,U4982,MPesa,deposit,14732.61,KES,success,,web,TZ,DEV94953,192.168.6.135,16/01/2025 11:43:00
TRX000028,U2264,PayPal,withdrawal,2834.66,KES,success,,android,UG,DEV21163,192.168.99.222,19/02/2025 19:11:00
TRX000029,U2077,PayPal,withdrawal,12764.67,EUR,success,,ios,NG,DEV97873,192.168.53.55,13/01/2025 03:43:00
TRX000030,U4666,Skrill,deposit,14605.09,KES,success,,web,KE,DEV21696,192.168.65.93,10/02/2025 08:55:00
TRX000031,U1602,MPesa,deposit,276.04,KES,failed,fraud_suspected,android,NG,DEV12688,192.168.234.127,04/02/2025 10:28:00
TRX000032,U1300,AirtelMoney,withdrawal,1409.65,KES,success,,web,KE,DEV46119,192.168.124.174,12/01/2025 16:22:00
